ID,Anno Accademico,Anno di Corso,Giorno,Orario,Titolo Corso,Lingua,Livello Lingua,Docente,Email Docente,Modalità,Indirizzo/i,Gruppo,Note
S16,2026/2027,Secondo Anno,Mercoledì,16:00–18:00,Russo – Laboratorio applicato di traduzione intermedio,Russo,,Sudakova,,Online,Tutti gli indirizzi,,
S17,2026/2027,Secondo Anno,Mercoledì,16:00–18:00,Tedesco - Lingua 2,Tedesco,,Aurigi-Eberhart,,Online,Tutti gli indirizzi,,
S18,2026/2027,Secondo Anno,Giovedì,09:00–12:10,Inglese - Lingua 2,Inglese,,Sandford,,In presenza,Tutti gli indirizzi,,inizio 1 ottobre
S19,2026/2027,Secondo Anno,Giovedì,13:00–15:00,Francese - Lingua 2,Francese,,Vandamme,,In presenza,Tutti gli indirizzi,,
S20,2026/2027,Secondo Anno,Giovedì,13:30–15:30,Inglese – Laboratorio applicato di interpretazione intermedio (GR1),Inglese,,Borghi,,In presenza,Tutti gli indirizzi,GR1,
S21,2026/2027,Secondo Anno,Giovedì,15:30–17:30,Inglese – Laboratorio applicato di interpretazione intermedio (GR2),Inglese,,Borghi,,In presenza,Tutti gli indirizzi,GR2,
S22,2026/2027,Secondo Anno,Venerdì,08:30–10:00,Arabo - Lingua 2,Arabo,,Baccini,,Online,Tutti gli indirizzi,,
S23,2026/2027,Secondo Anno,Venerdì,09:00–12:00,"Food, Wine & Hospitality Management",,,Rosati,,In presenza,"Management per turismo, arte e cultura",,
S24,2026/2027,Secondo Anno,Venerdì,10:30–12:00,Arabo - Laboratorio applicato di interpretazione intermedio,Arabo,,Gadri,,Online,Tutti gli indirizzi,,
S25,2026/2027,Secondo Anno,Venerdì,12:00–14:00,Francese – Laboratorio applicato di interpretazione intermedio,Francese,,Bendoni,,In presenza,Tutti gli indirizzi,,
S26,2026/2027,Secondo Anno,Venerdì,13:00–15:00,Tedesco - Laboratorio applicato di interpretazione intermedio,Tedesco,,Bertazzoni,,Online,Tutti gli indirizzi,,online inizio 25/09
S27,2026/2027,Secondo Anno,Venerdì,14:00–15:30,Cinese - Lingua 2,Cinese,,Bozzano,,In presenza,Tutti gli indirizzi,,
S28,2026/2027,Secondo Anno,Venerdì,15:30-17:30,Inglese – Laboratorio applicato di traduzione intermedio,Inglese,,Laurenzi,,In presenza,Tutti gli indirizzi,,
T01,2026/2027,Terzo Anno,Lunedì,08:30–10:00,Russo – Laboratorio applicato di interpretazione 3,Russo,,Saturni,,Online,Tutti gli indirizzi,,
T02,2026/2027,Terzo Anno,Lunedì,09:00–11:00,Arabo – Laboratorio applicato di interpretazione 3,Arabo,,Gadri,,Online,Tutti gli indirizzi,,
T03,2026/2027,Terzo Anno,Lunedì,11:00–13:00,Francese – Laboratorio applicato di traduzione 3,Francese,,Oliva,,In presenza,Tutti gli indirizzi,,dal 14/09
T04,2026/2027,Terzo Anno,Lunedì,13:00–15:00,Arabo – Laboratorio applicato di traduzione 3,Arabo,,Boella,,Online,Tutti gli indirizzi,,
T05,2026/2027,Terzo Anno,Lunedì,17:00–19:00,Inglese - Lingua 3 - tutti,Inglese,,Grandolfo,,Online,Tutti gli indirizzi,Tutti,inizia 11/09; più si veda calendario ad hoc
T06,2026/2027,Terzo Anno,Martedì,09:00–10:00,Spagnolo – Laboratorio applicato di traduzione 3,Spagnolo,,Semeghini,,In presenza,Tutti gli indirizzi,,
T07,2026/2027,Terzo Anno,Martedì,11:00–12:00,Spagnolo – Laboratorio applicato di interpretazione 3,Spagnolo,,Magnanego,,In presenza,Tutti gli indirizzi,,inizio 15/09
T08,2026/2027,Terzo Anno,Martedì,12:00–13:30,Spagnolo – Laboratorio applicato di interpretazione 3,Spagnolo,,Semeghini,,In presenza,Tutti gli indirizzi,,
T09,2026/2027,Terzo Anno,Martedì,13:30–15:30,Arabo Lingua 3,Arabo,,Mutlak,,Online,Tutti gli indirizzi,,no lezione 15/09
T10,2026/2027,Terzo Anno,Martedì,13:30–15:30,Russo Lingua 3,Russo,,Sudakova,,Online,Tutti gli indirizzi,,no lezione 15/09
T11,2026/2027,Terzo Anno,Martedì,15:00–17:00,Cinese (da A0) - Lingua 3,Cinese,da A0,Bozzano,,In presenza,Tutti gli indirizzi,,no lezione 15/09
T12,2026/2027,Terzo Anno,Martedì,17:00–18:30,Cinese (da A0) – Laboratorio applicato di interpretazione 3,Cinese,da A0,Macchi,,Online,Tutti gli indirizzi,,
T13,2026/2027,Terzo Anno,Martedì,17:00–19:00,Tedesco – Laboratorio applicato di traduzione 3,Tedesco,,Ragazzi,,Online,Tutti gli indirizzi,,
T14,2026/2027,Terzo Anno,Mercoledì,09:00–11:00,Spagnolo Lingua 3,Spagnolo,,Acero,,In presenza,Tutti gli indirizzi,,
T15,2026/2027,Terzo Anno,Mercoledì,11:00–13:00,Spagnolo – Laboratorio applicato di traduzione 3,Spagnolo,,Acero,,In presenza,Tutti gli indirizzi,,
T16,2026/2027,Terzo Anno,Mercoledì,13:30–15:30,Tedesco Lingua 3,Tedesco,,Aurigi-Eberhart,,In presenza,Tutti gli indirizzi,,
T17,2026/2027,Terzo Anno,Mercoledì,15:30–17:00,Inglese – Laboratorio di traduzione 3 - tutti,Inglese,,Staton,,In presenza,Tutti gli indirizzi,Tutti,
T18,2026/2027,Terzo Anno,Giovedì,08:30–10:00,Russo – Laboratorio applicato di traduzione 3,Russo,,Mikshina,,Online,Tutti gli indirizzi,,
T19,2026/2027,Terzo Anno,Giovedì,10:00–12:00,Francese Lingua 3,Francese,,Vandamme,,In presenza,Tutti gli indirizzi,,no lezione 17/09
T20,2026/2027,Terzo Anno,Giovedì,13:00–14:30,Inglese – Laboratorio applicato di traduzione 3 - tutti,Inglese,,Oliveri,,In presenza,Tutti gli indirizzi,Tutti,dal 17/09 a settimane alterne
T21,2026/2027,Terzo Anno,Giovedì,13:00–15:00,Inglese – Laboratorio applicato di interpretazione 3 gruppo Valente,Inglese,,Valente,,In presenza,Tutti gli indirizzi,Gruppo Valente,dal 10/09 a settimane alterne
T22,2026/2027,Terzo Anno,Giovedì,14:30–17:00,Inglese – Laboratorio di interpretazione 3 gruppo Oliveri,Inglese,,Oliveri,,In presenza,Tutti gli indirizzi,Gruppo Oliveri,dal 17/09 a settimane alterne
T23,2026/2027,Terzo Anno,Giovedì,15:30–17:30,Tedesco – Laboratorio applicato di interpretazione 3,Tedesco,,Valente,,In presenza,Tutti gli indirizzi,,dal 10/09 a settimane alterne
T24,2026/2027,Terzo Anno,Venerdì,09:00–11:00,Cinese (da B1) - Laboratorio applicato di interpretazione 3,Cinese,da B1,Leoni,,Online,Tutti gli indirizzi,,online dal 02/10
T25,2026/2027,Terzo Anno,Venerdì,09:00–11:30,Francese – Laboratorio applicato di interpretazione 3,Francese,,Bendoni,,In presenza,Tutti gli indirizzi,,
T26,2026/2027,Terzo Anno,Venerdì,14:30–16:30,Cinese (da B1) - Lingua 3,Cinese,da B1,Zhang,,Online,Tutti gli indirizzi,,
T27,2026/2027,Terzo Anno,Venerdì,17:00–19:00,Inglese - Lingua 3 - tutti,Inglese,,Grandolfo,,Online,Tutti gli indirizzi,Tutti,inizia 11/09; più si veda calendario ad hoc
